keys,en,es
--MOVEMENT--,---------------------,
BLOCKED,The way is blocked.,
OUT_OF_BOUNDS,You cannot escape the dungeon!,
,,
--MENU--,---------------------,
NEW_GAME,NEW GAME,
CONTINUE,CONTINUE,
OPTIONS,OPTIONS,
GAME_VERSION,Version {0},
GAME_DEV,Developed by true (fmorenodev at github),
,,
,,
--GUI--,---------------------,
LEVEL_STAT,"{0}, level {1}",
ATTACK_STAT,Attack: {0},
DEFENSE_STAT,Defense: {0},
HEALTH_BAR,Health,
,,
,,
,,
,,
,,
--COMBAT--,--------------------,
PLAYER_ATTACK,You attack the {0}. You deal {1} damage.,
OTHER_ATTACK,The {0} attacks {1}. The {0} deals {2} damage.,
ENEMY_DEAD,The {0} dies.,
PLAYER_DEAD,You are dead.,
,,
--INTERACTIONS--,--------------------,
CHEST_OPEN,You open a chest! It had {0}.,
ITEM_PICK,You picked up {0}.,
,,
,,
,,
--ENTITIES--,--------------------,
PLAYER_NAME,You,
SKELETON_NAME,skeleton,
,,
,,
,,
,,
,,
,,
,,
,,
,,
--MISC--,--------------------,
LEVEL_ENTERED,You enter a new dungeon floor.,
LOADING_TEXT,Loading level...,
GAME_START,Welcome to the dungeons of noname! Let's see how far you can go this time.,
,,
--GAME OVER MENU--,--------------------,
GAME_OVER_1,GAME,
GAME_OVER_2,OVER,
GAME_OVER_SUBTEXT,You died at floor {0} to a {1}.,
RETRY,RETRY,
EXIT,EXIT,
,,
--INVENTORY--,--------------------,
INVENTORY_TITLE,Inventory,
INV_FULL,"Can't pick up {0}, inventory is full!",
USE,Use,
THROW,Throw,
,,
,,
--SKILLS--,--------------------,
SKILLS_TITLE,Skills,
,,
,,
,,
,,
,,
,,
,,
--ITEMS--,--------------------,
POTION,{0} potion of {1},
SIZE_SMALL,small,
SIZE_LARGE,large,
EFFECT_HEALTH,health,
EFFECT_DEFENSE,defense,
POTION_S_HEALTH_DESC,Restores some health,
POTION_L_HEALTH_DESC,Restores all your health ,
POTION_S_DEF_DESC,Gives extra defense,
POTION_L_DEF_DESC,Gives a lot of extra defense,
